647;HC;87
406;HC;84
2034;BF;0
684;BT;1
2109;sEA;200000
1310;SA;1
2034;BT;11
521;HC;51
33;BT;1
620;sEA;200000
623;SA;8
1551;SA;1
1826;HC;43
2214;SA;1
541;sEA;1
275;HC;19
1486;sEA;200000
202;SA;8
684;BF;0
1088;HC;1223
749;SA;1
1424;SA;6
557;BT;13343
106;sEA;1
1953;HC;281
2046;BF;0
750;SA;6
148;BT;3
12;sEA;1
1052;SA;13
864;SA;3
1977;BT;1
2095;SA;1
389;HC;13
2022;BT;7426
33;BF;0
2022;BF;0
2100;SA;12
557;BF;0
148;BF;0
1700;BT;1
1977;BF;0
263;HC;1
1342;sEA;1
1814;HC;1
214;SA;3
791;sEA;200000
672;BF;0
737;SA;1
2009;HC;1313
2010;HC;282
672;BT;1
1563;SA;1
611;SA;1
2161;BF;0
1965;BT;3
462;sEA;1
1040;SA;1
2226;SA;1
786;HC;260
1309;SA;1
77;sEA;200000
390;HC;75
1485;HC;955
287;BF;0
545;BF;0
545;BT;6
212;sEA;200000
1436;SA;6
2161;BT;27
21;BF;0
659;HC;23
1013;sEA;1
1178;SA;8
1941;HC;4681
21;BT;1
1838;BF;0
287;BT;1
876;SA;1
1700;BF;0
1773;BT;1
1532;BT;11
2124;BT;1
1882;SA;10
133;sEA;1
840;BF;0
1117;HC;2187
1358;HC;1
1641;SA;1
1400;SA;1
1904;SA;200000
803;HC;27
834;sEA;200000
1819;sEA;200000
931;sEA;1
1154;BF;0
594;SA;7
1395;BF;0
839;BT;14
1977;HC;1
839;BF;0
1736;HC;1
840;BT;10
1395;BT;5
1154;BT;11
1166;BF;0
341;SA;3
1129;HC;46
1785;BF;0
1989;HC;113
1507;HC;53
1166;BT;8
1303;BF;0
471;sEA;1
1761;BT;1
2124;BF;0
1532;BF;0
2039;sEA;200000
374;sEA;200000
1870;SA;6
1473;HC;112
226;SA;5
2112;BF;0
978;sEA;1
1761;BF;0
1520;BF;0
1461;HC;415
1383;BF;0
1965;HC;23
852;BT;1
1157;sEA;200000
827;BF;0
1724;HC;1
1371;HC;1
1130;HC;196
1360;sEA;1
1519;BT;1
1785;BT;1
2148;BF;0
1412;SA;6
1797;BF;0
1383;BT;1
1990;HC;164
