1461;SA;1
2517;sEA;1
251;HC;24
1690;SA;11
658;sEA;200000
1941;BT;1
1689;SA;21
1448;SA;12
1644;sEA;1
275;BT;1
635;HC;948
2846;sEA;200000
3041;SA;17
2774;SA;3
2161;HC;200000
431;BT;1
1076;HC;53
3269;SA;1
2390;HC;1
660;BT;20
899;sEA;1
3089;HC;1
1928;HC;1
2124;HC;69
647;HC;1401
3208;HC;1
3449;HC;1
406;HC;1
684;BT;18
2762;SA;9
3004;SA;1
3338;sEA;1
623;SA;5
541;sEA;200000
275;HC;1
3425;SA;16
1486;sEA;1
202;SA;13
1088;HC;29794
2400;sEA;677
1424;SA;1
106;sEA;280
3294;SA;3
1953;HC;1
1052;SA;5
864;SA;1
1977;BT;1
2100;SA;13
3077;HC;1
1700;BT;18
3065;HC;35
3413;SA;1
263;HC;217
214;SA;11
2353;SA;11
3282;SA;1
2359;sEA;200000
2952;sEA;200000
3016;SA;1
672;BT;13
611;SA;25
3093;sEA;1
2465;sEA;1
1965;BT;12
1040;SA;200000
1485;HC;1
2623;sEA;1
212;sEA;1
1436;SA;1
2161;BT;4202
659;HC;278
1941;HC;1
2750;SA;9
2794;sEA;200000
3251;sEA;200000
287;BT;1
876;SA;1
1773;BT;24
1532;BT;7
2124;BT;17
1882;SA;1
2569;HC;1
1641;SA;13
1400;SA;1
1904;SA;3
803;HC;1
834;sEA;1
1819;sEA;1
2328;HC;16
839;BT;1
1977;HC;1
1736;HC;1
840;BT;1
2570;HC;1
2365;BT;7426
1989;HC;1
3221;BT;1
1507;HC;3785
471;sEA;1
1761;BT;9
1870;SA;11
1473;HC;1
226;SA;5
1461;HC;1
1965;HC;18
852;BT;1
1157;sEA;200000
1724;HC;27
2582;HC;1
1519;BT;10
1785;BT;6
1412;SA;1
2377;BT;13
1990;HC;1
827;BT;1
2316;HC;3059
2557;HC;1
1653;SA;1
2571;sEA;1
2148;BT;24
238;SA;8
1556;BT;4203
3203;sEA;1
1520;BT;10
2112;BT;9
3009;sEA;200000
2353;HC;300
3233;BT;33
2508;SA;1
230;sEA;200000
1916;SA;1
2341;BT;1
2641;BT;1
1748;BT;1
1989;BT;1
1857;SA;11
2521;SA;1
3245;BT;1
142;sEA;200000
180;SA;1
2112;HC;275
1907;sEA;1
2224;sEA;1
2653;BT;1
1070;sEA;200000
1520;HC;676
2390;BT;1
1485;BT;1
263;SA;3
1797;BT;25
1990;BT;1
287;HC;1
2389;BT;7426
2400;BT;13
2582;BT;1
2365;HC;280
192;SA;1
179;SA;1
1928;SA;1
827;HC;1
3163;sEA;1
1604;SA;8
1677;SA;26
505;sEA;200000
2166;sEA;200000
1700;HC;76
635;BT;11
2184;sEA;200000
1773;HC;74
815;HC;1
1473;BT;1
2665;BT;6
189;sEA;200000
2100;HC;6055
2594;BT;1
1820;sEA;1
2553;sEA;1
2136;BT;3
3257;BT;36
987;sEA;200000
1544;BT;24
3221;HC;1
1519;HC;576
2786;SA;10
3221;sEA;1
647;BT;14
1785;HC;71
2304;HC;70
2377;HC;39
1448;HC;8
1869;SA;1
1665;SA;15
251;SA;5
1736;BT;1
299;HC;1
1712;HC;1
2328;BT;24
3233;HC;23
2641;HC;1
2711;sEA;1
2312;sEA;200000
417;sEA;1
52;SA;5
1187;sEA;200000
611;HC;12857
852;HC;1
2436;BT;22
